Algorithm,Dataset,trial,Training time,Training MSE,Test MSE,R2
ADGSGP,R2,1,26.719701290130615,0.004641160568474031,0.012548273288868607,0.9840900082338776
"
"
ADGSGP,R2,1,6.692491054534912,0.009985836860645681,0.010996655073337847,0.9657683504186646
"
"
ADGSGP,R2,1,14.009188652038574,0.006298735586059101,0.00844189583343938,0.9784078077384573
"
"
ADGSGP,Nguyen7,1,3.433072328567505,0.0005260991540424029,0.0014123032748894896,0.9991173815417347
"
"
ADGSGP,Nguyen9,1,4.738052606582642,0.00960163544447018,0.06140453464315636,0.9095171673403852
"
"
ADGSGP,Nguyen9,1,4.923210144042969,0.008333216922273805,0.006107627103229672,0.9214703498528862
"
"
ADGSGP,Nguyen9,30,6.836773157119751,0.0049851568844239864,0.043255563807895824,0.9530214286134925
"
"
ADGSGP,Nguyen9,1,9.667418003082275,0.003184367567964118,17.72733421365962,0.9699915082753174
"
"
ADGSGP,Nguyen9,1,9.093667268753052,0.002280544746981286,45.60775557539384,0.978508854048118
"
"
ADGSGP,Nguyen9,1,8.497309923171997,0.006372201527196931,0.007119899125070717,0.9399503503550777
"
"
ADGSGP,Nguyen9,1,4.623055934906006,0.005877936041070376,23.99592365630022,0.9446081549061106
"
"
ADGSGP,Nguyen9,1,8.995479583740234,0.007025834474189761,0.00557824924740467,0.9337907163108978
"
"
ADGSGP,Nguyen9,1,3.881803035736084,0.005337398437959332,0.00574548424559235,0.9497020135275285
"
"
ADGSGP,Nguyen9,1,7.134127616882324,0.0037987788868357824,0.004179162061047145,0.9642014866825215
"
"
ADGSGP,Keijzer3,1,588.0999550819397,0.04463916901346314,15009.054269166878,0.7065459750564422
"
"
ADGSGP,Keijzer3,1,552.3581647872925,0.09618657603505511,38.6311351976199,0.36767779269113554
"
"
ADGSGP,Keijzer3,2,668.0354110002518,0.07136511949574285,19.86238492186143,0.5308518948843448
"
"
ADGSGP,Keijzer3,3,618.1486106713613,0.061548527328736856,13.30248749867909,0.5953853202661769
"
"
ADGSGP,Keijzer11,1,411.6177577972412,0.00982854842198142,0.043100368608316515,0.9178236863414951
ADGSGP,Keijzer11,2,395.31458282470703,0.009883184092161885,0.04137661258564675,0.9173668785020331
ADGSGP,Keijzer11,3,340.6387379169464,0.009288759314305105,0.08186737818394361,0.9223368532016845
ADGSGP,FriedmanI,1,824.6652328968048,2.931289452290051,1813.2669446930342,0.8715333123547085
ADGSGP,FriedmanI,2,801.5357661247253,3.150320807173416,50885.52281338991,0.8619340444863159
ADGSGP,FriedmanII,1,557.1844470500946,0.00731893787088255,5.137333423892062,0.9999999991392683
ADGSGP,FriedmanII,2,545.1870930194855,0.0071785973455693475,5.231835234815964,0.9999999991557729
ADGSGP,FriedmanII,3,490.55772439638775,0.005328456689458853,5.2751900831325065,0.9999999993733556
ADGSGP,Pagie1,1,618.0202510356903,0.030045837805723802,321.29756803044734,0.9003256818843384
ADGSGP,Pagie1,2,696.2621196508408,0.035080537777850765,194.87410284991566,0.8836235253366153
ADGSGP,Pagie1,3,710.2018654346466,0.037003573863225975,166.31231127517205,0.8772440290562663
